kind,model,order,rows,device,algorithm,points,max_feature_abs,mean_feature_abs,finite,max_pair_abs,mean_pair_abs,error,initial_configuration_error,library
benchmark,fashion_mnist-large,1,16,cuda,quadratureshap,8,4.441374323094216e-06,4.047491292440746e-09,True,,,,,
benchmark,fashion_mnist-large,2,1,cpu,treeshap,,,,,,,"Command '['/home/rorym/miniforge3/envs/xgboost/bin/python', '/home/rorym/xgboost-worktrees/quadrature-figure1/experiments/2026-09-21-quadrature-correction/pair_accuracy_case.py', 'fashion_mnist-large', 'cpu', 'treeshap', '/home/rorym/xgboost-worktrees/quadrature-figure1/experiments/2026-09-21-quadrature-correction/artifacts/accuracy/fashion_mnist-large-cpu-treeshap-pair-result.json.tmp']' timed out after 599.9999808510183 seconds",,
benchmark,fashion_mnist-large,2,1,cpu,quadratureshap,,,,True,1.1834373045971347e-06,1.427189148206332e-11,,,
benchmark,fashion_mnist-large,2,1,cuda,treeshap,,,,True,1.1960537478206135e-06,1.8407414046004982e-11,,,
benchmark,fashion_mnist-large,2,1,cuda,quadratureshap,,,,True,2.29318018907243e-06,1.5509300459257707e-11,,,
benchmark,fashion_mnist-small,1,16,cpu,treeshap,8,4.60765348653247e-08,1.3317347379719537e-11,True,,,,,
benchmark,fashion_mnist-small,1,16,cpu,quadratureshap,8,1.941152000251023e-08,1.5004942966394356e-11,True,,,,,
benchmark,fashion_mnist-small,1,16,cuda,treeshap,8,4.60765348653247e-08,2.236148472384391e-11,True,,,,,
benchmark,fashion_mnist-small,1,16,cuda,quadratureshap,8,1.8680981234142635e-08,1.6941842193685325e-11,True,,,,,
benchmark,fashion_mnist-small,2,1,cpu,treeshap,,,,True,7.881194263870128e-08,6.284858890988185e-13,,,
benchmark,fashion_mnist-small,2,1,cpu,quadratureshap,,,,True,4.900962025100597e-08,1.185730293282067e-13,,,
benchmark,fashion_mnist-small,2,1,cuda,treeshap,,,,True,4.9757747755396764e-08,9.082943793676154e-14,,,
benchmark,fashion_mnist-small,2,1,cuda,quadratureshap,,,,True,4.900962025100597e-08,1.2611148523787848e-13,,,
benchmark,fashion_mnist-sparse,1,16,cpu,treeshap,8,2.0005606805861906,0.0008395644826819648,True,,,,,
benchmark,fashion_mnist-sparse,1,16,cpu,quadratureshap,8,3.134172761320997e-07,2.1045097194486893e-10,True,,,,,
benchmark,fashion_mnist-sparse,1,16,cuda,treeshap,8,,,,,,Tree depth must be < 32,,
benchmark,fashion_mnist-sparse,1,16,cuda,quadratureshap,8,4.3262656568288094e-07,3.579848826939829e-10,True,,,,,
benchmark,fashion_mnist-sparse,2,1,cpu,treeshap,,,,True,8.452506607708765,4.531616454716169e-06,,,
benchmark,fashion_mnist-sparse,2,1,cpu,quadratureshap,,,,True,5.079926312934191e-07,2.659610534125534e-12,,,
benchmark,fashion_mnist-sparse,2,1,cuda,treeshap,,,,,,,Tree depth must be < 32,,
benchmark,fashion_mnist-sparse,2,1,cuda,quadratureshap,,,,True,5.079926312934191e-07,2.711158963072233e-12,,,
sweep,4,1,100,cpu,treeshap,8,1.7896598958344612e-07,9.965696073766721e-11,True,,,,,
sweep,4,1,100,cpu,quadratureshap,4,1.7896598958344612e-07,1.0180480157238861e-10,True,,,,[14:36:23] /home/rorym/xgboost-worktrees/quadrature-figure1/src/predictor/gpu_predictor.cu:688: Check failed: points == 8 (4 vs. 8) : GPU QuadratureSHAP currently uses a fixed quadrature size of 8.,CPU-only build
sweep,4,1,100,cpu,quadratureshap,6,2.151393498905918e-07,1.0271753778794909e-10,True,,,,[14:36:23] /home/rorym/xgboost-worktrees/quadrature-figure1/src/predictor/gpu_predictor.cu:688: Check failed: points == 8 (6 vs. 8) : GPU QuadratureSHAP currently uses a fixed quadrature size of 8.,CPU-only build
sweep,4,1,100,cpu,quadratureshap,8,2.4193332903710285e-07,1.057810404617234e-10,True,,,,,
sweep,4,1,100,cpu,quadratureshap,16,2.2725724391214897e-07,1.0273063113515918e-10,True,,,,[14:36:23] /home/rorym/xgboost-worktrees/quadrature-figure1/src/predictor/gpu_predictor.cu:688: Check failed: points == 8 (16 vs. 8) : GPU QuadratureSHAP currently uses a fixed quadrature size of 8.,CPU-only build
sweep,4,1,100,cuda,treeshap,8,7.303239479838908e-08,6.577470090385686e-11,True,,,,,
sweep,4,1,100,cuda,quadratureshap,8,4.765738209622228e-07,1.490215669746301e-10,True,,,,,
sweep,8,1,100,cpu,treeshap,8,3.575706802871892e-07,1.701370666856887e-10,True,,,,,
sweep,8,1,100,cpu,quadratureshap,4,2.505479838044167e-07,1.692940294312337e-10,True,,,,[14:36:41] /home/rorym/xgboost-worktrees/quadrature-figure1/src/predictor/gpu_predictor.cu:688: Check failed: points == 8 (4 vs. 8) : GPU QuadratureSHAP currently uses a fixed quadrature size of 8.,CPU-only build
sweep,8,1,100,cpu,quadratureshap,6,2.505479838044167e-07,1.6822728113749019e-10,True,,,,[14:36:41] /home/rorym/xgboost-worktrees/quadrature-figure1/src/predictor/gpu_predictor.cu:688: Check failed: points == 8 (6 vs. 8) : GPU QuadratureSHAP currently uses a fixed quadrature size of 8.,CPU-only build
sweep,8,1,100,cpu,quadratureshap,8,2.9796603551179857e-07,1.781973569746256e-10,True,,,,,
sweep,8,1,100,cpu,quadratureshap,16,3.289864529687492e-07,1.6815738092171338e-10,True,,,,[14:36:41] /home/rorym/xgboost-worktrees/quadrature-figure1/src/predictor/gpu_predictor.cu:688: Check failed: points == 8 (16 vs. 8) : GPU QuadratureSHAP currently uses a fixed quadrature size of 8.,CPU-only build
sweep,8,1,100,cuda,treeshap,8,2.0977716341796793e-07,2.858968993245087e-10,True,,,,,
sweep,8,1,100,cuda,quadratureshap,8,9.250329007226554e-07,2.61027684060518e-10,True,,,,,
sweep,12,1,100,cpu,treeshap,8,3.37102270986378e-07,2.87532136497397e-10,True,,,,,
sweep,12,1,100,cpu,quadratureshap,4,7.205743940367354e-06,2.1017415371362917e-08,True,,,,[14:37:22] /home/rorym/xgboost-worktrees/quadrature-figure1/src/predictor/gpu_predictor.cu:688: Check failed: points == 8 (4 vs. 8) : GPU QuadratureSHAP currently uses a fixed quadrature size of 8.,CPU-only build
sweep,12,1,100,cpu,quadratureshap,6,3.5909499407349443e-07,1.9642494335722495e-10,True,,,,[14:37:22] /home/rorym/xgboost-worktrees/quadrature-figure1/src/predictor/gpu_predictor.cu:688: Check failed: points == 8 (6 vs. 8) : GPU QuadratureSHAP currently uses a fixed quadrature size of 8.,CPU-only build
sweep,12,1,100,cpu,quadratureshap,8,3.5909499407349443e-07,2.07505978645255e-10,True,,,,,
sweep,12,1,100,cpu,quadratureshap,16,3.5909499407349443e-07,1.9530511551096888e-10,True,,,,[14:37:23] /home/rorym/xgboost-worktrees/quadrature-figure1/src/predictor/gpu_predictor.cu:688: Check failed: points == 8 (16 vs. 8) : GPU QuadratureSHAP currently uses a fixed quadrature size of 8.,CPU-only build
sweep,12,1,100,cuda,treeshap,8,2.4015722632775294e-07,3.639470861651527e-10,True,,,,,
sweep,12,1,100,cuda,quadratureshap,8,9.533391822635906e-07,3.4537335064937194e-10,True,,,,,
sweep,16,1,100,cpu,treeshap,8,7.558707215121058e-07,8.676465064676038e-10,True,,,,,
sweep,16,1,100,cpu,quadratureshap,4,3.221078677062561e-05,4.38528114168394e-08,True,,,,,
sweep,16,1,100,cpu,quadratureshap,6,3.529538092905682e-07,2.051618635316102e-10,True,,,,,
sweep,16,1,100,cpu,quadratureshap,8,3.823806096203697e-07,2.1350328767296202e-10,True,,,,,
sweep,16,1,100,cpu,quadratureshap,16,3.529538092905682e-07,2.013669808076029e-10,True,,,,,
sweep,16,1,100,cuda,treeshap,8,9.642263837511544e-07,1.899872532140821e-09,True,,,,,
sweep,16,1,100,cuda,quadratureshap,8,6.640340631802744e-07,3.710577183240596e-10,True,,,,,
sweep,24,1,100,cpu,treeshap,8,1.7166707898047355e-05,2.2683122572286913e-08,True,,,,,
sweep,24,1,100,cpu,quadratureshap,4,6.62057883517031e-05,8.4628789835254e-08,True,,,,,
sweep,24,1,100,cpu,quadratureshap,6,2.7903807847673434e-07,2.3945787944111763e-10,True,,,,,
sweep,24,1,100,cpu,quadratureshap,8,3.500016644286674e-07,2.2030057326585442e-10,True,,,,,
sweep,24,1,100,cpu,quadratureshap,16,2.4473537429958725e-07,2.0772442836753677e-10,True,,,,,
sweep,24,1,100,cuda,treeshap,8,1.4952918921479208e-05,1.6953421317812127e-08,True,,,,,
sweep,24,1,100,cuda,quadratureshap,8,8.499552719420933e-07,3.8398277829582237e-10,True,,,,,
sweep,32,1,100,cpu,treeshap,8,0.005821815496902316,1.2924975213293954e-06,True,,,,,
sweep,32,1,100,cpu,quadratureshap,4,0.00010461320934809781,1.1473649455449013e-07,True,,,,,
sweep,32,1,100,cpu,quadratureshap,6,9.854579549606335e-07,3.411782909096797e-10,True,,,,,
sweep,32,1,100,cpu,quadratureshap,8,3.5263255471207344e-07,2.1956127411209439e-10,True,,,,,
sweep,32,1,100,cpu,quadratureshap,16,3.5263255471207344e-07,2.0902904707237293e-10,True,,,,,
sweep,32,1,100,cuda,treeshap,8,,,,,,Tree depth must be < 32,,
